Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-07299600016,9/18/2017,4698,Quality Quick Stop,201 W Burlington Ave,Fairfield,52556,POINT (-91.965379 41.006639),51,JEFFERSON,1062500,Flavored Rum,65,Jim Beam Brands,44350,Calico Jack Cherry,12,750,6.29,9.44,2,18.88,1.5,0.4
INV-07292100004,9/18/2017,5169,AV Superstop,5120 NE 14th Street,Des Moines,50313,POINT (-93.60054000000001 41.653137),77,POLK,1031100,American Vodkas,434,LUXCO INC,36308,Hawkeye Vodka,6,1750,7.17,10.76,6,64.56,10.5,2.77
INV-07269800009,9/15/2017,4318,Fareway Stores #841 / Red Oak,811 Broadway,Red Oak,51566,POINT (-95.321174 41.663944),69,MONTGOMERY,1081400,American Schnapps,65,Jim Beam Brands,82611,Dekuyper Hot Damn!,12,750,6.47,9.71,12,116.52,9,2.38
INV-07262700007,9/15/2017,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1081400,American Schnapps,65,Jim Beam Brands,82787,Dekuyper Buttershots,12,1000,7.87,11.81,24,283.44,24,6.34
INV-07255000157,9/14/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320,POINT (-93.596754 41.554101),77,POLK,1022200,100% Agave Tequila,260,DIAGEO AMERICAS,89154,Don Julio Reposado,6,750,29.99,44.99,6,269.94,4.5,1.19
INV-07234100039,9/13/2017,5172,Uptown Liquor & Tobacco,2000 Willey Blvd SW,Cedar Rapids,52404,POINT (-91.725777 41.959614),57,LINN,1051100,American Brandies,115,CONSTELLATION BRANDS INC,56791,Paul Masson Apple Grande Amber Brandy,24,200,1.96,2.94,5,14.7,1,0.26
INV-07239900020,9/14/2017,4958,Five Corners Liquor & Wine,809 E 18th St,Cedar Falls,50613,POINT (-92.436845 42.5214),7,BLACK HAWK,1032100,Imported Vodkas,35,BACARDI USA INC,34433,Grey Goose Vodka,12,750,18.49,27.74,3,83.22,2.25,0.59
INV-07299200190,9/18/2017,2506,Hy-Vee #1044 / Burlington,3140 Agency,Burlington,52601,POINT (-91.136655 40.814666),29,DES MOINES,1071100,Cocktails /RTD,55,SAZERAC NORTH AMERICA,80058,Chi-Chi's Orange Cream,6,1750,6.5,9.75,6,58.5,10.5,2.77
INV-07334000002,9/19/2017,4660,Hill Brothers Jiffy Mart / Cedar Rapids,"1904, Mt Vernon Rd SE",Cedar Rapids,52403,POINT (-91.642561 41.977226),57,LINN,1052100,Imported Brandies,420,MOET HENNESSY USA,48099,Hennessy VS,24,200,6.24,9.36,48,431.52,9.6,2.54
INV-07303800047,9/18/2017,4580,Smokin' Joe's #9 Tobacco and Liquor Outlet,304 W. Madison,Washington,52353,POINT (-91.694639 41.296493),92,WASHINGTON,1041100,American Dry Gins,297,Laird & Company,29996,Five O'clock Gin,12,750,3.46,5.19,1,5.19,0.75,0.2
INV-07273000019,9/15/2017,3721,Wal-Mart 0913 / Decorah,1798 Old Stage Rd,Decorah,52101,POINT (-91.753135 43.290041),96,WINNESHIEK,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26826,Jack Daniels Old #7 Black Lbl,12,750,15.57,23.36,24,560.64,18,4.76
INV-07238800049,9/14/2017,5215,Cody Mart,"1220, N Cody Rd",Le Claire,52753,POINT (-90.34429 41.611036),82,SCOTT,1081400,American Schnapps,55,SAZERAC NORTH AMERICA,84143,99 Cinnamon Mini,10,600,6,9,1,9,0.6,0.16
INV-07229600029,9/13/2017,4454,Kum & Go #248 / Sioux City,2026 Riverside Blvd,Sioux City,51109,POINT (-96.474603 42.51496),97,WOODBURY,1032100,Imported Vodkas,370,PERNOD RICARD USA,34006,Absolut Swedish Vodka 80 Prf,12,750,11.49,17.24,6,103.44,4.5,1.19
INV-07219400005,9/13/2017,4129,Cyclone Liquors,626 Lincoln Way,Ames,50010,POINT (-93.618911 42.022854),85,STORY,1012200,Scotch Whiskies,260,DIAGEO AMERICAS,5350,Johnnie Walker Green,6,750,32.49,48.74,1,48.74,0.75,0.2
INV-07258800097,9/14/2017,2648,Hy-Vee #4 / Wdm,555 S 51st St,West Des Moines,50265,POINT (-93.773557 41.561197),77,POLK,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10807,Crown Royal Regal Apple,12,750,15.59,23.39,12,280.68,9,2.38
INV-07319800064,9/19/2017,2448,Bottle Boutique,705 E. SECOND,Indianola,50125,POINT (-93.55261600000001 41.358176),91,WARREN,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25607,Seagrams 7 Crown Bl Whiskey,12,1000,8,12,4,48,4,1.06
INV-07309500015,9/18/2017,3981,Wal-Mart 1152 / Sioux Center,255 16th St SW,Sioux Center,51250,POINT (-96.179835 43.060881),84,SIOUX,1062400,Spiced Rum,260,DIAGEO AMERICAS,43336,Captain Morgan Original Spiced,12,750,9.06,13.59,24,326.16,18,4.76
INV-07307900033,9/18/2017,5451,Casey's General Store # 2527/ Sheldon,1401 Park St,Sheldon,51201,POINT (-95.84182700000001 43.186026),71,OBRIEN,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whisky,24,375,5.33,8,6,48,2.25,0.59
INV-07244700020,9/14/2017,3456,Quick Shop / Clear Lake,904 N 8th St,Clear Lake,50428,POINT (-93.378772 43.142868),17,Cerro Gord,1011100,Blended Whiskies,434,LUXCO INC,24157,Hawkeye Blend Whiskey,12,1000,4.39,6.59,12,79.08,12,3.17
INV-07221300024,9/13/2017,2642,Hy-Vee Wine and Spirits / Pella,512 E Oskaloosa,Pella,50219,POINT (-92.899277 41.396961000000005),63,MARION,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,20247,Old Crow,12,1000,4.98,7.47,12,89.64,12,3.17
INV-07314700043,9/18/2017,4891,Schottsy's Liquor,109 5th St,Sibley,51249,POINT (-95.759943 43.403935),72,OSCEOLA,1011100,Blended Whiskies,65,Jim Beam Brands,22787,Beam's 8 Star Bl Whiskey,12,1000,4.19,6.29,4,25.16,4,1.06
INV-07304000002,9/18/2017,3525,Wines and Spirits,106 W 2nd St,Washington,52353,POINT (-91.692214 41.300399),92,WASHINGTON,1012100,Canadian Whiskies,55,SAZERAC NORTH AMERICA,13388,Northern Light,6,1750,8.72,13.08,6,78.48,10.5,2.77
INV-07306700022,9/18/2017,4970,Jeff's Market / West Liberty,"200, E 3rd St",West Liberty,52776,POINT (-91.26158700000002 41.569916),70,MUSCATINE,1022100,Mixto Tequila,55,SAZERAC NORTH AMERICA,89577,Montezuma Gold Tequila,12,1000,7.02,10.53,2,21.06,2,0.53
INV-07242300005,9/14/2017,2848,CVS Pharmacy #10114 / Ankeny,104 E First St,Ankeny,50023,,77,Polk,1062400,Spiced Rum,260,DIAGEO AMERICAS,43285,Captain Morgan Original Spiced Rum Pet,12,750,9.06,13.59,12,163.08,9,2.38
INV-07230200019,9/13/2017,4888,Circle S Bluff Stop,302 1st St,Sergeant Bluff,51054,POINT (-96.361378 42.400333),97,WOODBURY,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19063,Jim Beam,48,200,3.5,5.25,3,15.36,0.6,0.16
INV-07266100008,9/15/2017,2628,Hy-Vee Food Store / Eldora,1616 Edgington,Eldora,50627,POINT (-93.103764 42.360631),42,HARDIN,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25608,Seagrams 7 Crown Bl Whiskey,6,1750,11.96,17.94,6,107.64,10.5,2.77
INV-07267600009,9/15/2017,2657,Hy-Vee Food Store / Bedford,1604 Bent,Bedford,50833,POINT (-94.72557800000001 40.676171),87,TAYLOR,1071100,Cocktails /RTD,55,SAZERAC NORTH AMERICA,57125,Chi-Chi's Gold Margarita,6,1750,6.5,9.75,6,58.5,10.5,2.77
INV-07330000019,9/19/2017,4853,Kum & Go #62 / Johnston,6130 NW 86th St,Johnston,50131,POINT (-93.73738 41.671761),77,POLK,1062200,White Rum,35,BACARDI USA INC,43124,Bacardi Superior Rum,24,375,4.5,6.75,2,13.5,0.75,0.2
INV-07287700019,9/18/2017,4599,Quik Trip #500 / Hubbell DM,3700 Hubbell Ave,Des Moines,50317,,77,POLK,1032100,Imported Vodkas,35,BACARDI USA INC,34359,Grey Goose Vodka,12,200,5,7.5,7,52.5,1.4,0.37
