Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-07228400176,9/13/2017,2623,Hy-Vee Food Store #4 / Sioux City,2827 Hamilton Blvd,Sioux City,51104,POINT (-96.417783 42.519886),97,WOODBURY,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19475,Maker's Mark Replica,12,375,8.99,13.49,3,40.11,1.12,0.3
INV-07294000101,9/18/2017,2538,Hy-Vee Food Store #3 / Waterloo,1422 Flammang Dr,Waterloo,50702,POINT (-92.327917 42.459938),7,BLACK HAWK,1022200,100% Agave Tequila,410,Patron Spirits Company,88291,Patron Tequila Silver Mini,10,300,20.3,30.45,1,30.45,0.3,0.08
INV-07219700010,9/13/2017,3866,Target Store T-1170 / Ames,320 S Duff,Ames,50010,POINT (-93.61036300000002 42.019875000000006),85,STORY,1032100,Imported Vodkas,115,CONSTELLATION BRANDS INC,34820,Svedka Vodka,12,750,8.25,12.38,12,148.56,9,2.38
INV-07282200004,9/15/2017,5379,Yesway Store # 1036/ Kanawha,102 North Main Street,Kanawha,50447,POINT (-93.793182 42.934461),41,HANCOCK,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11777,Black Velvet,12,1000,6.63,9.95,12,119.4,12,3.17
INV-07327900068,9/19/2017,5427,Beecher Liquor,1691 Asbury Rd,Dubuque,52001,POINT (-90.696886 42.500775000000004),31,DUBUQUE,1082000,Imported Cordials & Liqueurs,259,Heaven Hill Brands,65195,Hpnotiq,6,750,9.83,14.75,2,29.5,1.5,0.4
INV-07291200039,9/18/2017,3707,Target Store T-1768 / Cedar Rapids,1030 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.649625 42.035157),57,LINN,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11776,Black Velvet,12,750,5.23,7.85,12,94.2,9,2.38
INV-07240000025,9/14/2017,4959,Bani's,2128 College St,Cedar Falls,50613,POINT (-92.455801 42.518018000000005),7,BLACK HAWK,1031200,American Flavored Vodka,259,Heaven Hill Brands,40126,Burnett's Mango Pineapple,12,750,4.48,6.72,12,80.64,9,2.38
INV-07244700104,9/14/2017,3456,Quick Shop / Clear Lake,904 N 8th St,Clear Lake,50428,POINT (-93.378772 43.142868),17,Cerro Gord,1012200,Scotch Whiskies,55,SAZERAC NORTH AMERICA,8828,Lauder's,6,1750,10.85,16.28,3,50.31,5.25,1.39
INV-07225600007,9/13/2017,2840,CVS Pharmacy #8633 / Bettendorf,2002 Spruce Hills Dr,Bettendorf,52722,POINT (-90.503814 41.550134),82,SCOTT,1032100,Imported Vodkas,65,Jim Beam Brands,34579,Pinnacle Vodka,12,750,7.35,11.03,12,132.36,9,2.38
INV-07241900015,9/14/2017,4901,Fareway Stores #137 / Polk City,1101 S 5th St,Polk City,50226,POINT (-93.719323 41.763876),77,POLK,1011200,Straight Bourbon Whiskies,421,SAZERAC COMPANY  INC,16850,Blanton's Bourbon,6,750,28.75,43.13,6,258.78,4.5,1.19
INV-07238500002,9/14/2017,4196,Fareway Stores #987 / Davenport,1635 West 53rd St,Davenport,52806,POINT (-90.598191 41.574438),82,SCOTT,1062500,Flavored Rum,305,Mhw LTD,80022,Blue Chair Bay Coconut Spiced Rum Cream,12,750,9.42,14.13,12,169.56,9,2.38
INV-07303200060,9/18/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320,POINT (-93.596754 41.554101),77,POLK,1031100,American Vodkas,154,DUNKEL CORPORATION,38046,Swell Zone Vodka,12,750,9.44,14.16,1,14.16,0.75,0.2
INV-07280900005,9/15/2017,3477,Sam's Club 6472 / Council Bluffs,3221 Manawa Centre Dr,Council Bluffs,51501,POINT (-95.847163 41.225208),78,POTTAWATTA,1032100,Imported Vodkas,35,BACARDI USA INC,34422,Grey Goose Vodka,6,1000,22.5,33.75,12,405,12,3.17
INV-07244900005,9/14/2017,4091,Fareway Stores #705 / Clear Lake,910 Hwy 18 W,Clear Lake,50428,POINT (-93.613385 43.105949),17,Cerro Gord,1031100,American Vodkas,259,Heaven Hill Brands,35416,Burnett's Vodka 80 Prf,12,750,4.48,6.72,12,80.64,9,2.38
INV-07259200007,9/14/2017,2521,Hy-Vee Food and Drug / Grand / WDM,1990 Grand Avenue,West Des Moines,50265,POINT (-93.73162 41.571127),77,POLK,1062400,Spiced Rum,35,BACARDI USA INC,43205,Bacardi Oakheart,12,750,7.5,11.25,12,135,9,2.38
INV-07253200020,9/14/2017,5444,Marshall Beer Wine Spirits,11 N 3rd Ave,Marshalltown,50158,POINT (-92.908013 42.050021),64,MARSHALL,1052100,Imported Brandies,420,MOET HENNESSY USA,48106,Hennessy Vs Cognac,12,750,19.99,29.99,4,116.96,3,0.79
INV-07231200120,9/13/2017,3869,Bootleggin' Barzini's Fin,412  1st Ave,Coralville,52241,POINT (-91.565517 41.672672),52,JOHNSON,1071100,Cocktails /RTD,55,SAZERAC NORTH AMERICA,57125,Chi-Chi's Gold Margarita,6,1750,6.5,9.75,1,9.75,1.75,0.46
INV-07302300039,9/18/2017,3918,Smokin' Joe's #1 Tobacco and Liquor Outlet,3120 Rockingham Rd,Davenport,52802,POINT (-90.621541 41.510082),82,SCOTT,1062400,Spiced Rum,259,Heaven Hill Brands,43024,Admiral Nelson Spiced Rum,24,375,2.74,4.11,24,98.64,9,2.38
INV-07320700068,9/19/2017,2588,Hy-Vee Food and Drug #6 / Cedar Rapids,4035 Mt Vernon Rd SE,Cedar Rapids,52403,POINT (-91.60978 41.976835),57,LINN,1031100,American Vodkas,301,FIFTH GENERATION INC,38177,Titos Handmade Vodka,12,1000,12.67,19.01,12,219.12,12,3.17
INV-07223500010,9/13/2017,4919,Kum & Go #4084 / Altoona,101 8th St SW,Altoona,50009,POINT (-93.464905 41.64404),77,POLK,1032100,Imported Vodkas,370,PERNOD RICARD USA,34001,Absolut Swedish Vodka 80 Prf Mini,10,600,7.92,11.88,3,35.64,1.8,0.48
INV-07323100010,9/19/2017,4457,KUM & GO #422 / IOWA CITY,731 S Riverside Dr,Iowa City,52246,POINT (-91.540196 41.650697),52,JOHNSON,1031200,American Flavored Vodka,205,E & J Gallo Winery,40593,New Amsterdam Peach,24,375,3.5,5.25,8,42,3,0.79
INV-07223800001,9/13/2017,3524,Sam's Club 6568 / Ames,305 Airport Rd,Ames,50010,POINT (-93.613648 42.001123),85,STORY,1062400,Spiced Rum,260,DIAGEO AMERICAS,43338,Captain Morgan Spiced Rum,6,1750,18,27,228,6156,399,105.4
INV-07332600128,9/19/2017,2666,Hy-Vee #2 / Ankeny,2510 SW State St,Ankeny,50023,POINT (-93.621824 41.705188),77,Polk,1082000,Imported Cordials & Liqueurs,978,W J Deutsch & Sons LTD,65426,Licor 43,12,750,14.1,21.15,1,21.15,0.75,0.2
INV-07318800019,9/19/2017,3696,Wal-Mart 1723 / Des Moines,5101 SE 14th St,Des Moines,50315,,77,POLK,1062500,Flavored Rum,370,PERNOD RICARD USA,42714,Malibu Coconut Rum,24,375,3.99,5.99,24,179.76,9,2.38
INV-07321000008,9/19/2017,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26585,Gentleman Jack,12,375,8.5,12.75,2,24,0.75,0.2
INV-07238200023,9/14/2017,4694,Rina Mart LLC / Davenport,"3815, West Kimberly Rd",Davenport,52806,POINT (-90.631357 41.561712),82,SCOTT,1081200,Cream Liqueurs,300,McCormick Distilling Co.,68611,McCormick's Irish Cream,12,750,6,9,4,36,3,0.79
INV-07332100058,9/19/2017,5126,Price Chopper  /  Merle Hay,4343 Merle Hay Rd,Des Moines,50310,POINT (-93.697647 41.63740800000001),77,POLK,1041100,American Dry Gins,55,SAZERAC NORTH AMERICA,30056,Fleischmann's Gin,12,750,3.32,4.98,12,59.76,9,2.38
INV-07286200012,9/18/2017,4285,Fareway Stores #922 / New Hampton,102 S Water Ave,New Hampton,50659,POINT (-92.312904 43.058019),19,CHICKASAW,1031100,American Vodkas,300,McCormick Distilling Co.,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,12,134.52,21,5.55
INV-07301500008,9/18/2017,3805,Washington Street Mini Mart,1601 Washington St,Davenport,52804,POINT (-90.596253 41.535982),82,SCOTT,1052100,Imported Brandies,389,REMY COINTREAU USA INC,49189,Remy Martin VSOP,24,200,6.48,9.72,24,221.76,4.8,1.27
INV-07316500006,9/18/2017,4114,After 5 Somewhere,704 W 7th St Po Box 372,Atlantic,50022,POINT (-95.023116 41.40406200000001),15,CASS,1062100,Gold Rum,434,LUXCO INC,45247,Paramount Gold Rum,12,1000,4.42,6.63,12,79.56,12,3.17
INV-07247500020,9/14/2017,3670,Wal-Mart 2827 / Coralville,2801 Commerce Dr,Coralville,52241,POINT (-91.610774 41.695806),52,JOHNSON,1081400,American Schnapps,65,Jim Beam Brands,82606,Dekuyper Sour Apple Pucker,12,750,6.47,9.71,12,116.52,9,2.38
INV-07290500065,9/18/2017,3612,B and C Liquor / Maquoketa,509 E Platt,Maquoketa,52060,POINT (-90.659692 42.06922000000001),49,JACKSON,1012400,Irish Whiskies,370,PERNOD RICARD USA,15626,Jameson,12,750,15.99,23.99,3,67.47,2.25,0.59
INV-07325200048,9/19/2017,5402,City Liquor,425 S Gilbert Street,Iowa City,52240,POINT (-91.530225 41.656031),52,JOHNSON,1011200,Straight Bourbon Whiskies,259,Heaven Hill Brands,18856,Larceny,6,750,14.5,21.75,1,21.75,0.75,0.2
INV-07307000028,9/18/2017,4402,KUM & GO #80 / RIVERSIDE,1178 Enterprise Dr,Riverside,52327,POINT (-91.555044 41.486572),92,WASHINGTON,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whisky,24,375,5.33,8,6,48,2.25,0.59
INV-07313800034,9/18/2017,4000,Foodland Super Markets / Woodbine,,,,,,,1062400,Spiced Rum,260,DIAGEO AMERICAS,43316,Captain Morgan Private Stock Rum,12,750,11.99,17.99,2,35.98,1.5,0.4
INV-07249900076,9/14/2017,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1082000,Imported Cordials & Liqueurs,192,"Mast-Jagermeister US, Inc",65257,Jagermeister Liqueur,12,1000,15.96,23.94,84,1958.04,84,22.19
INV-07307200021,9/18/2017,5252,Freeman Foods of North English,"119, Main St",North English,52316,POINT (-92.166582 41.575084),48,IOWA,1051100,American Brandies,434,LUXCO INC,55088,Paramount Blackberry Brandy,6,1750,11.29,16.94,1,16.94,1.75,0.46
INV-07264800040,9/15/2017,2550,Hy-Vee Food Store / Osceola,510 West Mclane,Osceola,50213,POINT (-93.77321 41.030569),20,CLARKE,1051100,American Brandies,434,LUXCO INC,55088,Paramount Blackberry Brandy,6,1750,11.29,16.94,6,101.64,10.5,2.77
INV-07220900089,9/13/2017,2536,HY-VEE / PLEASANT HILL,4815 Maple Drive,Pleasant Hill,50317,POINT (-93.519187 41.598109),77,Polk,1062200,White Rum,434,LUXCO INC,45278,Paramount White Rum,6,1750,7.84,11.76,6,70.56,10.5,2.77
INV-07256500014,9/14/2017,5127,Price Chopper  /  Ingersoll,3425 Ingersoll Ave,Des Moines,50312,POINT (-93.663337 41.586313),77,POLK,1062500,Flavored Rum,370,PERNOD RICARD USA,42716,Malibu Coconut Rum,12,750,7.49,11.24,12,134.88,9,2.38
INV-07328500067,9/19/2017,4167,"Iowa Street Market, Inc.",1256 Iowa St,Dubuque,52001,POINT (-90.668138 42.504959),31,DUBUQUE,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,35948,Fleischmann's Royal Vodka 80 Prf,6,1750,6.85,10.28,18,193.86,31.5,8.32
INV-07221500043,9/13/2017,3990,Cork and Bottle / Oskaloosa,309 A Ave West,Oskaloosa,52577,POINT (-92.648153 41.296228),62,MAHASKA,1052100,Imported Brandies,420,MOET HENNESSY USA,48146,Hennessy Black,12,750,23.49,35.24,1,34.49,0.75,0.2
INV-07238800042,9/14/2017,5215,Cody Mart,"1220, N Cody Rd",Le Claire,52753,POINT (-90.34429 41.611036),82,SCOTT,1071100,Cocktails /RTD,285,Charles Jacquin Et Cie,56958,Bartenders Hot Sex,6,1750,9.31,13.97,1,13.97,1.75,0.46
INV-07291700015,9/18/2017,3868,Wal-Mart 3630 / Marion,5491 Business Hwy 151,Marion,52302,,57,LINN,1062400,Spiced Rum,260,DIAGEO AMERICAS,43336,Captain Morgan Original Spiced,12,750,9.06,13.59,24,326.16,18,4.76
INV-07331900007,9/19/2017,5092,Kum & Go #2035 / West Des Moines,7265 Vista Dr,West Des Moines,50265,POINT (-93.80783900000002 41.589057),77,POLK,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11788,Black Velvet,6,1750,10.45,15.68,2,31.36,3.5,0.92
INV-07278400008,9/15/2017,3728,Brewski's Beverage,726 Creek Top,Council Bluffs,51503,POINT (-95.854809 41.262316),78,POTTAWATTA,1011200,Straight Bourbon Whiskies,461,Skyy Spirits Inc,22151,Wild Turkey 101 Mini,12,500,12.45,18.68,1,16.38,0.5,0.13
